TITLE="vgrid_n=25Re=100.dat" VARIABLES="x", "y", "v" ZONE T="vgrid_n=25Re=100.dat" I=23 J=22 F=POINT
9.3478260870e-01, 3.4782608696e-01, -4.4531094382e-02,
9.7826086957e-01, 3.4782608696e-01, -1.2748832652e-02,
2.1739130435e-02, 3.9130434783e-01, 2.5181565158e-02,
6.5217391304e-02, 3.9130434783e-01, 6.2814934137e-02,
1.0869565217e-01, 3.9130434783e-01, 8.9051272007e-02,
1.5217391304e-01, 3.9130434783e-01, 1.0575557001e-01,
1.9565217391e-01, 3.9130434783e-01, 1.1470291707e-01,
2.3913043478e-01, 3.9130434783e-01, 1.1725802570e-01,
2.8260869565e-01, 3.9130434783e-01, 1.1427848135e-01,
3.2608695652e-01, 3.9130434783e-01, 1.0617488012e-01,
3.6956521739e-01, 3.9130434783e-01, 9.3061728488e-02,
4.1304347826e-01, 3.9130434783e-01, 7.4943308485e-02,
4.5652173913e-01, 3.9130434783e-01, 5.1899924489e-02,
5.0000000000e-01, 3.9130434783e-01, 2.4263848033e-02,
5.4347826087e-01, 3.9130434783e-01, -7.2105100685e-03,
5.8695652174e-01, 3.9130434783e-01, -4.1177868537e-02,
6.3043478261e-01, 3.9130434783e-01, -7.5547225293e-02,
6.7391304348e-01, 3.9130434783e-01, -1.0738613684e-01,
7.1739130435e-01, 3.9130434783e-01, -1.3297611851e-01,
7.6086956522e-01, 3.9130434783e-01, -1.4816121924e-01,
8.0434782609e-01, 3.9130434783e-01, -1.4914870683e-01,
8.4782608696e-01, 3.9130434783e-01, -1.3381016173e-01,
8.9130434783e-01, 3.9130434783e-01, -1.0316322863e-01,
9.3478260870e-01, 3.9130434783e-01, -6.2140548739e-02,
9.7826086957e-01, 3.9130434783e-01, -1.8664154909e-02,
2.1739130435e-02, 4.3478260870e-01, 3.0497270911e-02,
6.5217391304e-02, 4.3478260870e-01, 7.5368272511e-02,
1.0869565217e-01, 4.3478260870e-01, 1.0623738800e-01,
1.5217391304e-01, 4.3478260870e-01, 1.2567290279e-01,
1.9565217391e-01, 4.3478260870e-01, 1.3601727546e-01,
2.3913043478e-01, 4.3478260870e-01, 1.3904528795e-01,
2.8260869565e-01, 4.3478260870e-01, 1.3587232066e-01,
3.2608695652e-01, 4.3478260870e-01, 1.2703529836e-01,
3.6956521739e-01, 4.3478260870e-01, 1.1266828607e-01,
4.1304347826e-01, 4.3478260870e-01, 9.2709663062e-02,
4.5652173913e-01, 4.3478260870e-01, 6.7105932683e-02,
5.0000000000e-01, 4.3478260870e-01, 3.6006741273e-02,
5.4347826087e-01, 4.3478260870e-01, -3.5693575513e-05,
5.8695652174e-01, 4.3478260870e-01, -3.9847134468e-02,
6.3043478261e-01, 4.3478260870e-01, -8.1391976813e-02,
6.7391304348e-01, 4.3478260870e-01, -1.2154888151e-01,
7.1739130435e-01, 4.3478260870e-01, -1.5599739329e-01,
7.6086956522e-01, 4.3478260870e-01, -1.7940165685e-01,
8.0434782609e-01, 4.3478260870e-01, -1.8617270321e-01,
8.4782608696e-01, 4.3478260870e-01, -1.7207721900e-01,
8.9130434783e-01, 4.3478260870e-01, -1.3656878383e-01,
9.3478260870e-01, 4.3478260870e-01, -8.4692836617e-02,
9.7826086957e-01, 4.3478260870e-01, -2.6501814911e-02,
2.1739130435e-02, 4.7826086957e-01, 3.5775550516e-02,
6.5217391304e-02, 4.7826086957e-01, 8.7899798190e-02,
1.0869565217e-01, 4.7826086957e-01, 1.2342119701e-01,
1.5217391304e-01, 4.7826086957e-01, 1.4558244372e-01,
1.9565217391e-01, 4.7826086957e-01, 1.5731029735e-01,
2.3913043478e-01, 4.7826086957e-01, 1.6082924256e-01,
2.8260869565e-01, 4.7826086957e-01, 1.5755648696e-01,
3.2608695652e-01, 4.7826086957e-01, 1.4819252555e-01,
3.6956521739e-01, 4.7826086957e-01, 1.3291542603e-01,
4.1304347826e-01, 4.7826086957e-01, 1.1160532067e-01,
4.5652173913e-01, 4.7826086957e-01, 8.4061211282e-02,
5.0000000000e-01, 4.7826086957e-01, 5.0207454279e-02,
5.4347826087e-01, 4.7826086957e-01, 1.0310794997e-02,
5.8695652174e-01, 4.7826086957e-01, -3.4763882272e-02,
6.3043478261e-01, 4.7826086957e-01, -8.3239421236e-02,
6.7391304348e-01, 4.7826086957e-01, -1.3206334523e-01,
7.1739130435e-01, 4.7826086957e-01, -1.7656992927e-01,
7.6086956522e-01, 4.7826086957e-01, -2.1036681642e-01,
8.0434782609e-01, 4.7826086957e-01, -2.2584013661e-01,
8.4782608696e-01, 4.7826086957e-01, -2.1584810360e-01,
8.9130434783e-01, 4.7826086957e-01, -1.7695814656e-01,
9.3478260870e-01, 4.7826086957e-01, -1.1320069419e-01,
9.7826086957e-01, 4.7826086957e-01, -3.6816775749e-02,
2.1739130435e-02, 5.2173913043e-01, 4.0860303999e-02,
6.5217391304e-02, 5.2173913043e-01, 1.0006373825e-01,
1.0869565217e-01, 5.2173913043e-01, 1.4010978451e-01,
1.5217391304e-01, 5.2173913043e-01, 1.6485662500e-01,
1.9565217391e-01, 5.2173913043e-01, 1.7782638112e-01,
2.3913043478e-01, 5.2173913043e-01, 1.8173603716e-01,
2.8260869565e-01, 5.2173913043e-01, 1.7835487762e-01,
3.2608695652e-01, 5.2173913043e-01, 1.6859297919e-01,
3.6956521739e-01, 5.2173913043e-01, 1.5270950322e-01,
4.1304347826e-01, 5.2173913043e-01, 1.3055241738e-01,
4.5652173913e-01, 5.2173913043e-01, 1.0178458315e-01,
5.0000000000e-01, 5.2173913043e-01, 6.6093218884e-02,
5.4347826087e-01, 5.2173913043e-01, 2.3408268763e-02,
5.8695652174e-01, 5.2173913043e-01, -2.5830205355e-02,
6.3043478261e-01, 5.2173913043e-01, -8.0312295268e-02,
6.7391304348e-01, 5.2173913043e-01, -1.3737564829e-01,
7.1739130435e-01, 5.2173913043e-01, -1.9242080018e-01,
7.6086956522e-01, 5.2173913043e-01, -2.3838319817e-01,
