TITLE="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" I=51 J=51 F=POINT
0.0400000000, 0.9800000000, 0.3674302570, 0.0680513968, 0.0373678988, 0.0024697869, -729.5801007132
0.0400000000, 1.0000000000, 1.0000000000, 0.0000000000, 0.1000000000, 0.0043964509, -777.8422619111
0.0600000000, 0.0000000000, -0.0000000000, -0.0000000000, 0.0000000000, -0.0001583003, -3.4511149848
0.0600000000, 0.0200000000, 0.0016605852, -0.0073464834, 0.0007531823, 0.0000881870, 68.6222650238
0.0600000000, 0.0400000000, 0.0047016163, -0.0011506972, 0.0004840382, 0.0000088850, 53.7756753218
0.0600000000, 0.0600000000, 0.0021387840, 0.0038564959, 0.0004409870, -0.0000338684, 0.3004060319
0.0600000000, 0.0800000000, -0.0002615924, 0.0039536338, 0.0003962278, -0.0000057783, -7.2465789779
0.0600000000, 0.1000000000, -0.0014064705, 0.0043136202, 0.0004537122, 0.0000045409, -1.4933966655
0.0600000000, 0.1200000000, -0.0020909769, 0.0056243202, 0.0006000430, 0.0000049600, 0.1213229821
0.0600000000, 0.1400000000, -0.0028351453, 0.0073631687, 0.0007890140, 0.0000080440, -0.5498749800
0.0600000000, 0.1600000000, -0.0035392421, 0.0094513680, 0.0010092304, 0.0000115898, -0.7468873021
0.0600000000, 0.1800000000, -0.0041755630, 0.0119023190, 0.0012613506, 0.0000152004, -0.8798169320
0.0600000000, 0.2000000000, -0.0047586250, 0.0146999822, 0.0015451019, 0.0000191256, -1.1260531339
0.0600000000, 0.2200000000, -0.0052927935, 0.0178221947, 0.0018591511, 0.0000233251, -1.4359852680
0.0600000000, 0.2400000000, -0.0057810300, 0.0212453192, 0.0022017809, 0.0000278062, -1.8037141297
0.0600000000, 0.2600000000, -0.0062249792, 0.0249451320, 0.0025710114, 0.0000325731, -2.2237386359
0.0600000000, 0.2800000000, -0.0066245135, 0.0288968044, 0.0029646408, 0.0000376102, -2.6876659651
0.0600000000, 0.3000000000, -0.0069785732, 0.0330744719, 0.0033802680, 0.0000428988, -3.1889547544
0.0600000000, 0.3200000000, -0.0072855129, 0.0374511394, 0.0038153198, 0.0000484161, -3.7212200074
0.0600000000, 0.3400000000, -0.0075434057, 0.0419986177, 0.0042670679, 0.0000541347, -4.2782815577
0.0600000000, 0.3600000000, -0.0077503654, 0.0466875199, 0.0047326448, 0.0000600243, -4.8542213578
0.0600000000, 0.3800000000, -0.0079048335, 0.0514874006, 0.0052090679, 0.0000660514, -5.4432643857
0.0600000000, 0.4000000000, -0.0080058599, 0.0563670323, 0.0056932733, 0.0000721800, -6.0398244114
0.0600000000, 0.4200000000, -0.0080533888, 0.0612948283, 0.0061821623, 0.0000783717, -6.6386066667
0.0600000000, 0.4400000000, -0.0080485481, 0.0662394167, 0.0066726602, 0.0000845863, -7.2347476357
0.0600000000, 0.4600000000, -0.0079939486, 0.0711703759, 0.0071617914, 0.0000907819, -7.8240040009
0.0600000000, 0.4800000000, -0.0078939958, 0.0760591361, 0.0076467688, 0.0000969158, -8.4029867428
0.0600000000, 0.5000000000, -0.0077552238, 0.0808800569, 0.0081251013, 0.0001029446, -8.9694422774
0.0600000000, 0.5200000000, -0.0075866615, 0.0856116927, 0.0085947189, 0.0001088253, -9.5225882386
0.0600000000, 0.5400000000, -0.0074002521, 0.0902382620, 0.0090541193, 0.0001145153, -10.0635170081
0.0600000000, 0.5600000000, -0.0072113519, 0.0947513455, 0.0095025371, 0.0001199731, -10.5956889260
0.0600000000, 0.5800000000, -0.0070393496, 0.0991518465, 0.0099401414, 0.0001251580, -11.1255497727
0.0600000000, 0.6000000000, -0.0069084561, 0.1034522575, 0.0103682671, 0.0001300297, -11.6633252199
0.0600000000, 0.6200000000, -0.0068487338, 0.1076792913, 0.0107896872, 0.0001345468, -12.2240695233
0.0600000000, 0.6400000000, -0.0068974420, 0.1118769370, 0.0112089356, 0.0001386640, -12.8290810871
0.0600000000, 0.6600000000, -0.0071007889, 0.1161099974, 0.0116326922, 0.0001423270, -13.5078506033
0.0600000000, 0.6800000000, -0.0075161717, 0.1204681263, 0.0120702371, 0.0001454651, -14.3007540999
0.0600000000, 0.7000000000, -0.0082149517, 0.1250702854, 0.0125339785, 0.0001479781, -15.2628001458
0.0600000000, 0.7200000000, -0.0092857368, 0.1300693292, 0.0130400365, 0.0001497173, -16.4690027795
0.0600000000, 0.7400000000, -0.0108378844, 0.1356559540, 0.0136088198, 0.0001504561, -18.0216136106
0.0600000000, 0.7600000000, -0.0130044883, 0.1420603747, 0.0142654361, 0.0001498486, -20.0599301126
0.0600000000, 0.7800000000, -0.0159435181, 0.1495485910, 0.0150396067, 0.0001473580, -22.7781143083
0.0600000000, 0.8000000000, -0.0198324283, 0.1584058832, 0.0159642567, 0.0001421671, -26.4452985350
0.0600000000, 0.8200000000, -0.0248462742, 0.1688929718, 0.0170710788, 0.0001331291, -31.4316565158
0.0600000000, 0.8400000000, -0.0311051416, 0.1811513010, 0.0183802404, 0.0001185080, -38.3517976244
0.0600000000, 0.8600000000, -0.0385149863, 0.1949901755, 0.0198757573, 0.0000960941, -48.1431097642
