TITLE="Solution_n=29_m=29_Re=400_BCM=0_CM=2_G=1.00_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=29_m=29_Re=400_BCM=0_CM=2_G=1.00_U=0.10.dat" I=29 J=29 F=POINT
0.2931034483, 0.2241379310, -0.1195292769, 0.0282459826, 0.0122821348, -0.0000213347, 0.0949738504
0.3275862069, 0.2241379310, -0.1253016149, 0.0150070239, 0.0126197090, -0.0000223498, 0.0958002694
0.3620689655, 0.2241379310, -0.1274099509, 0.0015449946, 0.0127419318, -0.0000221356, 0.1123907470
0.3965517241, 0.2241379310, -0.1261456222, -0.0108715691, 0.0126613226, -0.0000207408, 0.1509925989
0.4310344828, 0.2241379310, -0.1221383835, -0.0211749629, 0.0123960331, -0.0000186658, 0.2060435748
0.4655172414, 0.2241379310, -0.1163160718, -0.0289350721, 0.0119861032, -0.0000166484, 0.2692712244
0.5000000000, 0.2241379310, -0.1095794461, -0.0344498571, 0.0114867087, -0.0000155317, 0.3346090017
0.5344827586, 0.2241379310, -0.1023117604, -0.0384370118, 0.0109293642, -0.0000153078, 0.4023470708
0.5689655172, 0.2241379310, -0.0943836015, -0.0411900847, 0.0102980033, -0.0000151450, 0.4743968809
0.6034482759, 0.2241379310, -0.0855968970, -0.0426067670, 0.0095614671, -0.0000148173, 0.5422547371
0.6379310345, 0.2241379310, -0.0758019970, -0.0426700987, 0.0086986666, -0.0000140533, 0.5953026448
0.6724137931, 0.2241379310, -0.0649704747, -0.0412254236, 0.0076946073, -0.0000124378, 0.6302512932
0.7068965517, 0.2241379310, -0.0533973484, -0.0380149697, 0.0065547042, -0.0000100741, 0.6443453551
0.7413793103, 0.2241379310, -0.0416595950, -0.0329740812, 0.0053130141, -0.0000071930, 0.6321626921
0.7758620690, 0.2241379310, -0.0304350203, -0.0263325771, 0.0040245435, -0.0000041403, 0.5895189925
0.8103448276, 0.2241379310, -0.0204012556, -0.0186424217, 0.0027636047, -0.0000013638, 0.5181703950
0.8448275862, 0.2241379310, -0.0122017875, -0.0106741598, 0.0016211764, 0.0000007066, 0.4239194123
0.8793103448, 0.2241379310, -0.0062491406, -0.0033926552, 0.0007110687, 0.0000017202, 0.3082610836
